GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringModel,com.salesforce.apt.graph.model,InstanceDependencyModel,0,15,0,0,0,6,0,3,0,3
AptSpringModel,com.salesforce.apt.graph.model,DefinitionModel,102,272,3,9,18,97,9,39,7,35
AptSpringModel,com.salesforce.apt.graph.model,BaseInstanceModel,37,16,4,0,5,6,4,3,2,3
AptSpringModel,com.salesforce.apt.graph.model,AbstractModel,53,18,7,1,11,7,6,3,2,3
AptSpringModel,com.salesforce.apt.graph.model,InstanceModel,17,26,0,0,5,8,1,4,1,4
AptSpringModel,com.salesforce.apt.graph.model,ConcreteModel,6,6,0,0,2,2,1,1,1,1
AptSpringModel,com.salesforce.apt.graph.model,ExpectedModel,11,22,0,0,2,6,1,3,1,3
AptSpringModel,com.salesforce.apt.graph.types.impl,ReflectionAssignabilityUtils,18,38,1,3,3,5,1,3,0,2
AptSpringModel,com.salesforce.apt.graph.types.impl,ParseType,0,236,0,32,0,59,0,26,0,10
AptSpringModel,com.salesforce.apt.graph.types.impl,AptAssignabilityUtils,100,0,8,0,18,0,8,0,4,0
AptSpringModel,com.salesforce.apt.graph.processing,Verifier,47,0,4,0,12,0,5,0,3,0
AptSpringModel,com.salesforce.apt.graph.processing,DefinitionContentInspector,173,793,33,77,23,142,28,60,2,31
AptSpringModel,com.salesforce.apt.graph.processing,Verifier.ErrorListener,39,0,4,0,10,0,6,0,4,0
AptSpringModel,com.salesforce.apt.graph.processing,DefinitionGraphInpector,0,110,0,10,0,19,0,11,0,6
AptSpringModel,com.salesforce.apt.graph.processing,DefinitionJoiner,62,206,6,19,10,41,6,15,1,7
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,UrlResource,0,21,0,2,0,7,0,4,0,3
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,ClasspathUrlResourceLoader,20,69,0,2,2,18,0,5,0,4
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,FileStore,21,26,0,0,1,6,2,3,2,3
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,TestFileStore,5,53,3,5,1,10,3,3,0,2
AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,GsonDefinitionModelStore,72,263,20,8,7,37,15,7,3,5
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptFilerStore,39,0,0,0,7,0,2,0,2,0
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,ClassFileGsonDefinitionModelStore,131,0,0,0,26,0,2,0,2,0
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptResourceLoader,67,0,6,0,13,0,6,0,3,0
AptSpringModel,com.salesforce.apt.graph.model.storage.apt,StringResource,20,0,0,0,6,0,3,0,3,0
AptSpringModel,com.salesforce.apt.graph.parser.apt,AptElementVisitor,59,0,4,0,14,0,9,0,7,0
AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext.Current,60,0,4,0,12,0,8,0,6,0
AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext,93,0,8,0,16,0,9,0,5,0
AptSpringModel,com.salesforce.apt.graph.parser,ParsingContext,37,0,0,0,10,0,4,0,4,0
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages,14,4,0,0,3,1,2,1,2,1
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorType,0,212,0,0,0,22,0,5,0,5
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorModel,164,35,18,4,19,11,14,6,5,4
AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages.Builder,142,34,1,1,37,6,18,2,17,2
