GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,InstanceDependencyModel,0,15,0,0,0,6,0,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,DefinitionModel,27,347,2,10,10,105,6,42,4,38
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,BaseInstanceModel,0,53,1,3,0,11,1,6,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,AbstractModel,0,71,0,8,0,18,0,9,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,InstanceModel,0,43,0,0,0,13,0,5,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,ConcreteModel,0,12,0,0,0,4,0,2,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,ExpectedModel,0,33,0,0,0,8,0,4,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.types.impl,ReflectionAssignabilityUtils,18,38,1,3,3,5,1,3,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.types.impl,ParseType,0,236,0,32,0,59,0,26,0,10
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.types.impl,AptAssignabilityUtils,0,100,1,7,0,18,1,7,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,Verifier,0,47,0,4,0,12,0,5,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,DefinitionContentInspector,93,873,20,90,11,154,15,73,0,33
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,Verifier.ErrorListener,5,34,1,3,1,9,1,5,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,DefinitionGraphInpector,0,110,0,10,0,19,0,11,0,6
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,DefinitionJoiner,57,211,5,20,10,41,5,16,0,8
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,UrlResource,0,21,0,2,0,7,0,4,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,ClasspathUrlResourceLoader,20,69,0,2,2,18,0,5,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,FileStore,21,26,0,0,1,6,2,3,2,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,TestFileStore,5,53,3,5,1,10,3,3,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,GsonDefinitionModelStore,66,269,20,8,5,39,13,9,1,7
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptFilerStore,0,39,0,0,0,7,0,2,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,ClassFileGsonDefinitionModelStore,11,120,0,0,3,23,0,2,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptResourceLoader,1,66,2,4,0,13,2,4,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,StringResource,0,20,0,0,0,6,0,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser.apt,AptElementVisitor,10,49,1,3,2,12,3,6,2,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext.Current,20,40,1,3,4,8,4,4,3,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext,0,93,2,6,0,16,2,7,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser,ParsingContext,0,37,0,0,0,10,0,4,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages,0,18,0,0,0,4,0,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorType,0,212,0,0,0,22,0,5,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorModel,24,175,2,20,2,28,3,17,1,8
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages.Builder,0,176,0,2,0,43,0,20,0,19
