GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,InstanceDependencyModel,0,15,0,0,0,6,0,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,DefinitionModel,24,368,2,10,9,107,5,43,3,39
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,BaseInstanceModel,0,54,1,3,0,12,1,6,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,AbstractModel,3,32,1,1,1,11,1,4,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,InstanceModel,0,43,0,0,0,13,0,5,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,ConcreteModel,0,12,0,0,0,4,0,2,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model,ExpectedModel,0,34,0,0,0,8,0,4,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.types.impl,ReflectionAssignabilityUtils,20,37,1,3,3,5,1,3,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.types.impl,ParseType,2,238,1,31,1,60,1,25,0,10
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.types.impl,AptAssignabilityUtils,0,103,1,7,0,21,1,8,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,Verifier,0,47,0,4,0,12,0,5,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,DefinitionContentInspector,103,830,19,83,18,151,18,72,5,34
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,Verifier.ErrorListener,5,34,1,3,1,9,1,5,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,DefinitionGraphInpector,0,110,0,10,0,22,0,11,0,6
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.processing,DefinitionJoiner,62,206,6,19,8,42,6,15,1,7
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.naming,NamingTools,3,99,1,7,1,12,1,8,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,UrlResource,0,21,0,2,0,7,0,4,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,ClasspathUrlResourceLoader,14,60,0,2,2,15,0,5,0,4
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,ClasspathUrlResourceLoader.new PrivilegedAction() {...},7,29,0,0,2,5,0,2,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,FileStore,0,26,0,0,0,6,0,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,TestFileStore,0,58,1,7,0,11,1,5,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.classpath,GsonDefinitionModelStore,11,248,0,4,5,42,1,9,1,7
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptFilerStore,0,39,0,0,0,7,0,2,0,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,ClassFileGsonDefinitionModelStore,15,128,1,1,4,24,1,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,AptResourceLoader,36,34,5,1,5,8,4,2,1,2
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.storage.apt,StringResource,20,0,0,0,6,0,3,0,3,0
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser.apt,AptElementVisitor,10,50,1,3,2,13,3,6,2,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext.Current,20,40,1,3,4,9,4,4,3,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser.apt,AptParsingContext,0,89,1,5,0,16,1,7,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.parser,ParsingContext,0,41,0,0,0,12,0,5,0,5
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages,0,18,0,0,0,4,0,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorType,0,191,0,0,0,21,0,3,0,3
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorModel,20,179,1,21,1,28,2,18,1,8
AptSpringProcessor/AptSpringModel,com.salesforce.apt.graph.model.errors,ErrorMessages.Builder,0,177,0,2,0,43,0,20,0,19
